executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
10,0,4827,2015-12-28T16:13:34.553GMT,3,228009,274300650,85,436,0,0,10554,585,3,70998
14,0,7559,2015-12-28T17:14:52.301GMT,3,20475,63943653,20,7,0,0,10554,195,1,49333
6,0,7558,2015-12-28T17:14:51.911GMT,3,80183,273301479,86,25,0,0,10553,780,4,62438
13,0,7553,2015-12-28T17:14:40.620GMT,2,82729,272641751,86,30,0,0,10550,780,4,65730
13,0,7552,2015-12-28T17:14:39.824GMT,2,1061120,273800400,86,278,0,0,10550,780,4,59085
8,0,7551,2015-12-28T17:14:38.982GMT,3,79743,273678966,86,36,0,0,10549,778,4,65548
9,0,7550,2015-12-28T17:14:33.822GMT,2,1092422,273920720,87,350,0,0,10549,585,3,56777
5,0,7557,2015-12-28T17:14:51.495GMT,2,82627,274281675,86,15,0,0,10549,780,4,65525
13,0,7556,2015-12-28T17:14:50.975GMT,2,74335,274058606,86,30,0,0,10550,778,4,65626
15,0,7555,2015-12-28T17:14:44.526GMT,3,136265,274167387,87,94,0,0,10554,585,3,59428
15,0,7554,2015-12-28T17:14:42.687GMT,2,19916,63141030,20,13,0,0,10554,195,1,49589
15,0,4174,2015-12-28T16:01:44.232GMT,3,45429,73971791,23,74,0,0,10554,390,2,64477
6,0,4175,2015-12-28T16:01:44.321GMT,3,160375,272932170,86,272,0,0,10553,780,4,79367
7,0,4176,2015-12-28T16:01:44.347GMT,3,165805,271981626,85,269,0,0,10553,778,4,93232
5,0,4177,2015-12-28T16:01:44.817GMT,3,161694,274281686,86,281,0,0,10549,780,4,78083
12,0,4170,2015-12-28T16:01:42.564GMT,3,163976,273241432,86,219,0,0,10550,780,4,80013
15,0,4171,2015-12-28T16:01:43.310GMT,3,167378,272434898,85,342,0,0,10554,778,4,86167
8,0,4172,2015-12-28T16:01:43.493GMT,3,159700,271832936,85,301,0,0,10549,780,4,91442
8,0,4173,2015-12-28T16:01:43.838GMT,3,161000,273631632,86,301,0,0,10549,585,3,73300
3,0,4178,2015-12-28T16:01:45.392GMT,4,160728,272640126,85,367,0,0,10553,585,3,104586
12,0,4179,2015-12-28T16:01:47.539GMT,4,43135,73089169,23,61,0,0,10550,390,2,79138
12,0,7395,2015-12-28T17:08:21.635GMT,2,125069,274095726,87,52,0,0,10550,585,3,51695
11,0,7394,2015-12-28T17:08:21.574GMT,2,24264,62635079,20,14,0,0,10554,195,1,54962
13,0,9272,2015-12-28T17:57:00.847GMT,3,124561,273270677,85,110,0,0,10550,778,4,62150
13,0,996,2015-12-28T14:51:14.409GMT,3,162431,273834623,85,138,0,0,10550,778,4,90992
8,0,7391,2015-12-28T17:08:10.986GMT,2,1140477,273350360,86,355,0,0,10549,778,4,61949
11,0,7390,2015-12-28T17:08:10.861GMT,2,83449,273641614,87,50,0,0,10554,585,3,63219
1,0,7393,2015-12-28T17:08:17.501GMT,2,1180981,272185853,86,203,0,0,10553,780,4,88122
2,0,2228,2015-12-28T15:14:46.310GMT,2,975327,272967740,86,931,0,0,10549,585,3,53888
3,0,2229,2015-12-28T15:14:48.375GMT,3,21363,63627684,20,7,0,0,10553,390,2,64570
1,0,2226,2015-12-28T15:14:44.313GMT,2,101430,273056773,86,38,0,0,10553,778,4,69930
9,0,2227,2015-12-28T15:14:45.298GMT,2,124273,273154838,86,165,0,0,10549,778,4,81469
0,0,2224,2015-12-28T15:14:35.490GMT,2,176789,64169712,20,60,0,0,10553,390,2,59173
3,0,992,2015-12-28T14:51:10.752GMT,4,165412,273556661,85,189,0,1,10553,780,4,85823
4,0,2222,2015-12-28T15:14:31.493GMT,2,99548,274339971,86,81,0,0,10553,778,4,66109
11,0,2223,2015-12-28T15:14:33.071GMT,2,103738,273739500,86,106,0,0,10554,585,3,52767
12,0,2220,2015-12-28T15:14:27.432GMT,2,811406,274249343,87,388,0,0,10550,780,4,61019
